,label,filename,xmin,ymin,xmax,ymax
0,1,1136.jpg,283.0,465.0,457.0,739.0
1,1,1186.jpg,31.0,335.0,113.0,463.0
2,2,168.jpg,127.0,236.0,199.0,363.0
3,1,797.jpg,358.0,166.0,522.0,439.0
4,1,402.jpg,138.0,575.0,281.0,815.0
5,1,443.jpg,175.0,293.0,270.0,466.0
6,1,991.jpg,537.0,395.0,592.0,474.0
7,2,94.jpg,62.0,379.0,122.0,502.0
8,1,677.jpg,151.0,307.0,262.0,446.0
9,1,1205.jpg,389.0,579.0,505.0,753.0
10,1,1075.jpg,125.0,692.0,217.0,801.0
11,2,339.jpg,91.0,234.0,175.0,389.0
12,1,1403.jpg,100.0,271.0,197.0,395.0
13,1,547.jpg,100.0,163.0,143.0,240.0
14,1,132.jpg,101.0,214.0,170.0,302.0
15,1,1303.jpg,166.0,359.0,284.0,515.0
16,1,1097.jpg,87.0,241.0,184.0,355.0
17,1,486.jpg,186.0,531.0,292.0,661.0
18,1,79.jpg,201.0,319.0,296.0,480.0
19,1,1592.jpg,123.0,323.0,243.0,462.0
20,1,354.jpg,177.0,431.0,292.0,588.0
21,1,1132.jpg,77.0,486.0,184.0,614.0
22,2,1659.jpg,77.0,172.0,143.0,282.0
23,1,839.jpg,3.0,373.0,69.0,468.0
24,1,1261.jpg,108.0,109.0,282.0,381.0
25,1,1268.jpg,100.0,267.0,217.0,468.0
26,1,368.jpg,111.0,215.0,184.0,348.0
27,1,1222.jpg,287.0,228.0,390.0,418.0
28,1,113.jpg,230.0,438.0,374.0,684.0
29,1,1406.jpg,146.0,483.0,299.0,678.0
30,1,869.jpg,338.0,731.0,442.0,919.0
31,1,725.jpg,93.0,506.0,239.0,735.0
32,1,122.jpg,165.0,257.0,234.0,391.0
33,1,322.jpg,122.0,295.0,210.0,452.0
34,1,661.jpg,112.0,339.0,218.0,528.0
35,1,1122.jpg,98.0,335.0,207.0,519.0
36,1,1162.jpg,209.0,607.0,285.0,742.0
37,1,895.jpg,179.0,613.0,235.0,713.0
38,1,574.jpg,603.0,780.0,760.0,1066.0
39,1,1616.jpg,137.0,375.0,263.0,588.0
40,2,1416.jpg,149.0,312.0,245.0,489.0
41,1,831.jpg,290.0,681.0,407.0,887.0
42,1,1483.jpg,133.0,358.0,245.0,562.0
43,1,185.jpg,143.0,354.0,251.0,520.0
44,1,669.jpg,162.0,218.0,222.0,282.0
45,2,535.jpg,595.0,587.0,771.0,878.0
46,1,406.jpg,132.0,341.0,210.0,443.0
47,1,739.jpg,233.0,249.0,301.0,332.0
48,1,1435.jpg,39.0,430.0,146.0,610.0
49,2,757.jpg,313.0,523.0,434.0,751.0
50,1,1178.jpg,257.0,373.0,335.0,469.0
51,1,1602.jpg,41.0,285.0,173.0,450.0
52,1,1004.jpg,184.0,187.0,243.0,267.0
53,1,1343.jpg,120.0,337.0,223.0,465.0
54,2,1078.jpg,178.0,501.0,323.0,752.0
55,1,19.jpg,309.0,466.0,427.0,595.0
56,1,1555.jpg,97.0,243.0,227.0,441.0
57,2,110.jpg,239.0,266.0,318.0,403.0
58,1,153.jpg,223.0,454.0,318.0,574.0
59,1,1324.jpg,79.0,384.0,206.0,542.0
60,1,1266.jpg,45.0,332.0,165.0,515.0
61,1,136.jpg,244.0,511.0,391.0,778.0
62,1,404.jpg,177.0,253.0,251.0,378.0
63,1,3.jpg,257.0,378.0,323.0,449.0
64,1,1216.jpg,96.0,665.0,177.0,796.0
65,1,1411.jpg,102.0,309.0,212.0,489.0
66,1,1459.jpg,94.0,209.0,175.0,352.0
67,1,1127.jpg,374.0,457.0,431.0,539.0
68,1,265.jpg,147.0,273.0,230.0,412.0
69,1,1531.jpg,93.0,306.0,198.0,424.0
70,1,566.jpg,511.0,899.0,602.0,1025.0
71,1,998.jpg,70.0,181.0,151.0,309.0
72,2,1682.jpg,97.0,231.0,186.0,426.0
73,1,279.jpg,240.0,330.0,350.0,518.0
74,1,992.jpg,422.0,578.0,543.0,735.0
75,1,96.jpg,64.0,223.0,141.0,346.0
76,1,1689.jpg,71.0,332.0,171.0,447.0
77,1,643.jpg,132.0,190.0,195.0,295.0
78,1,420.jpg,121.0,360.0,234.0,524.0
79,1,1513.jpg,50.0,112.0,126.0,218.0
80,1,714.jpg,139.0,149.0,289.0,342.0
81,1,1573.jpg,166.0,411.0,290.0,571.0
82,1,1466.jpg,47.0,274.0,126.0,393.0
83,1,718.jpg,117.0,476.0,175.0,558.0
84,1,74.jpg,110.0,341.0,207.0,464.0
85,2,301.jpg,117.0,93.0,190.0,214.0
86,2,283.jpg,107.0,566.0,242.0,769.0
87,1,706.jpg,202.0,381.0,345.0,618.0
88,1,275.jpg,2.0,212.0,88.0,323.0
89,1,324.jpg,114.0,375.0,234.0,529.0
90,1,1556.jpg,145.0,417.0,279.0,668.0
91,1,912.jpg,163.0,297.0,232.0,398.0
92,1,1060.jpg,108.0,488.0,162.0,553.0
93,2,401.jpg,244.0,376.0,348.0,563.0
94,1,1064.jpg,168.0,704.0,253.0,828.0
95,1,1685.jpg,127.0,413.0,198.0,513.0
96,2,1606.jpg,34.0,198.0,100.0,324.0
97,1,1686.jpg,215.0,501.0,382.0,708.0
98,1,217.jpg,88.0,247.0,164.0,382.0
99,2,1446.jpg,151.0,439.0,294.0,622.0
100,1,1617.jpg,115.0,344.0,237.0,566.0
101,1,1451.jpg,142.0,294.0,235.0,413.0
102,2,528.jpg,229.0,317.0,299.0,431.0
103,2,37.jpg,249.0,461.0,421.0,738.0
104,1,1089.jpg,128.0,477.0,168.0,525.0
105,1,489.jpg,251.0,446.0,364.0,641.0
106,2,350.jpg,73.0,211.0,127.0,331.0
107,1,1263.jpg,65.0,416.0,117.0,483.0
108,1,247.jpg,70.0,216.0,143.0,341.0
109,1,196.jpg,27.0,255.0,88.0,368.0
110,1,741.jpg,128.0,466.0,291.0,754.0
111,1,1203.jpg,193.0,462.0,259.0,555.0
112,1,1611.jpg,104.0,216.0,176.0,343.0
113,1,1231.jpg,249.0,478.0,390.0,745.0
114,1,1160.jpg,257.0,318.0,385.0,527.0
115,1,52.jpg,93.0,285.0,188.0,436.0
116,1,267.jpg,125.0,411.0,261.0,574.0
117,1,731.jpg,234.0,747.0,405.0,960.0
118,1,1553.jpg,109.0,282.0,208.0,453.0
119,2,111.jpg,93.0,420.0,232.0,672.0
120,2,1085.jpg,53.0,454.0,126.0,587.0
121,1,557.jpg,382.0,824.0,495.0,954.0
122,1,567.jpg,111.0,167.0,162.0,230.0
123,2,312.jpg,138.0,262.0,221.0,402.0
124,2,294.jpg,53.0,146.0,123.0,248.0
125,1,1014.jpg,354.0,401.0,514.0,560.0
126,1,326.jpg,92.0,222.0,186.0,377.0
127,1,148.jpg,218.0,308.0,329.0,493.0
128,1,1423.jpg,107.0,344.0,221.0,490.0
129,1,833.jpg,258.0,599.0,312.0,703.0
130,1,321.jpg,249.0,485.0,352.0,603.0
131,1,764.jpg,131.0,505.0,273.0,736.0
132,2,617.jpg,605.0,549.0,787.0,846.0
133,1,807.jpg,232.0,501.0,302.0,636.0
134,2,1100.jpg,196.0,602.0,321.0,837.0
135,1,841.jpg,87.0,287.0,202.0,422.0
136,1,1256.jpg,187.0,727.0,228.0,788.0
137,1,1125.jpg,137.0,334.0,263.0,537.0
138,1,1021.jpg,448.0,289.0,508.0,383.0
139,2,726.jpg,68.0,494.0,151.0,631.0
140,2,1010.jpg,70.0,235.0,181.0,422.0
141,1,1706.jpg,115.0,367.0,229.0,512.0
142,1,481.jpg,177.0,428.0,317.0,612.0
143,1,1283.jpg,128.0,382.0,263.0,616.0
144,1,183.jpg,145.0,296.0,245.0,418.0
145,1,1583.jpg,175.0,542.0,381.0,780.0
146,1,231.jpg,110.0,343.0,190.0,450.0
147,2,1197.jpg,165.0,462.0,341.0,760.0
148,1,1727.jpg,101.0,233.0,182.0,375.0
149,1,506.jpg,164.0,513.0,331.0,793.0
150,1,654.jpg,92.0,189.0,157.0,255.0
151,1,961.jpg,485.0,512.0,550.0,597.0
152,1,1444.jpg,115.0,352.0,236.0,576.0
153,1,306.jpg,77.0,193.0,145.0,269.0
154,1,594.jpg,143.0,206.0,205.0,286.0
155,1,1020.jpg,611.0,973.0,764.0,1162.0
156,1,782.jpg,145.0,539.0,305.0,801.0
157,1,997.jpg,136.0,848.0,250.0,1006.0
158,1,488.jpg,160.0,395.0,282.0,622.0
159,1,1626.jpg,139.0,204.0,233.0,294.0
160,1,223.jpg,148.0,431.0,281.0,585.0
161,1,1450.jpg,137.0,409.0,283.0,654.0
162,1,976.jpg,102.0,626.0,149.0,682.0
163,2,1325.jpg,90.0,496.0,189.0,621.0
164,1,370.jpg,173.0,405.0,323.0,654.0
165,1,1469.jpg,133.0,393.0,250.0,546.0
166,1,236.jpg,133.0,392.0,256.0,558.0
167,1,83.jpg,100.0,238.0,205.0,355.0
168,1,208.jpg,184.0,292.0,269.0,451.0
169,2,980.jpg,40.0,211.0,103.0,323.0
170,1,1441.jpg,95.0,356.0,231.0,542.0
171,1,13.jpg,101.0,305.0,185.0,407.0
172,1,1185.jpg,148.0,568.0,255.0,728.0
173,1,830.jpg,75.0,177.0,165.0,327.0
174,1,914.jpg,116.0,388.0,156.0,435.0
175,1,433.jpg,116.0,329.0,225.0,460.0
176,1,656.jpg,62.0,119.0,119.0,201.0
177,1,187.jpg,237.0,429.0,422.0,674.0
178,2,1612.jpg,147.0,476.0,306.0,687.0
179,1,1504.jpg,58.0,150.0,114.0,243.0
180,1,23.jpg,141.0,266.0,236.0,385.0
181,1,616.jpg,175.0,487.0,309.0,653.0
182,1,1041.jpg,114.0,548.0,188.0,674.0
183,1,45.jpg,263.0,334.0,348.0,495.0
184,2,562.jpg,105.0,175.0,166.0,252.0
185,1,708.jpg,78.0,234.0,136.0,305.0
186,1,351.jpg,95.0,299.0,180.0,403.0
187,1,930.jpg,138.0,864.0,257.0,1026.0
188,1,829.jpg,1484.0,2407.0,1790.0,2791.0
189,1,546.jpg,93.0,260.0,184.0,423.0
190,1,34.jpg,67.0,556.0,172.0,769.0
191,1,1620.jpg,154.0,460.0,290.0,644.0
192,1,377.jpg,99.0,236.0,194.0,374.0
193,1,893.jpg,229.0,264.0,317.0,413.0
194,1,81.jpg,132.0,297.0,221.0,403.0
195,1,784.jpg,110.0,573.0,192.0,704.0
196,1,1147.jpg,311.0,168.0,358.0,238.0
197,1,1328.jpg,124.0,344.0,250.0,569.0
198,1,1681.jpg,92.0,309.0,182.0,434.0
199,1,360.jpg,184.0,270.0,285.0,454.0
200,2,1013.jpg,562.0,1038.0,669.0,1225.0
201,1,1255.jpg,6.0,825.0,81.0,927.0
202,1,1540.jpg,87.0,261.0,181.0,376.0
203,1,1425.jpg,92.0,219.0,181.0,361.0
204,1,901.jpg,339.0,694.0,438.0,857.0
205,1,510.jpg,266.0,381.0,396.0,568.0
206,1,387.jpg,62.0,230.0,135.0,354.0
207,2,905.jpg,592.0,791.0,767.0,1056.0
208,1,160.jpg,239.0,423.0,362.0,571.0
209,1,44.jpg,406.0,546.0,546.0,725.0
210,2,1398.jpg,136.0,311.0,277.0,509.0
211,1,295.jpg,95.0,170.0,140.0,251.0
212,1,1264.jpg,39.0,277.0,103.0,387.0
213,1,1624.jpg,98.0,244.0,182.0,346.0
214,1,568.jpg,132.0,328.0,258.0,534.0
215,2,87.jpg,134.0,410.0,240.0,571.0
216,1,978.jpg,166.0,641.0,319.0,843.0
217,2,1111.jpg,452.0,516.0,590.0,756.0
218,2,758.jpg,183.0,189.0,252.0,282.0
219,1,1234.jpg,93.0,346.0,206.0,533.0
220,2,1638.jpg,50.0,149.0,107.0,250.0
221,1,139.jpg,80.0,132.0,139.0,222.0
222,1,821.jpg,51.0,425.0,119.0,538.0
223,1,85.jpg,134.0,135.0,192.0,218.0
224,1,697.jpg,144.0,324.0,254.0,447.0
225,1,1397.jpg,119.0,348.0,224.0,532.0
226,1,600.jpg,244.0,485.0,363.0,673.0
227,2,1035.jpg,174.0,462.0,361.0,714.0
228,1,777.jpg,183.0,515.0,306.0,677.0
229,1,117.jpg,154.0,483.0,277.0,634.0
230,1,1506.jpg,126.0,304.0,275.0,450.0
231,1,502.jpg,173.0,323.0,236.0,403.0
232,2,342.jpg,80.0,583.0,298.0,1002.0
233,1,1471.jpg,69.0,402.0,187.0,589.0
234,1,359.jpg,112.0,388.0,233.0,530.0
235,1,1232.jpg,170.0,156.0,244.0,250.0
236,1,933.jpg,54.0,345.0,113.0,448.0
237,2,407.jpg,110.0,268.0,193.0,411.0
238,1,212.jpg,244.0,361.0,386.0,524.0
239,1,293.jpg,240.0,484.0,356.0,672.0
240,1,448.jpg,40.0,254.0,108.0,371.0
241,1,1547.jpg,178.0,423.0,309.0,589.0
242,1,103.jpg,103.0,167.0,206.0,303.0
243,2,1271.jpg,135.0,456.0,319.0,667.0
244,2,1294.jpg,99.0,257.0,214.0,454.0
245,2,1519.jpg,193.0,334.0,386.0,628.0
246,1,1498.jpg,145.0,374.0,292.0,525.0
247,1,880.jpg,292.0,420.0,346.0,487.0
248,1,774.jpg,167.0,414.0,279.0,554.0
249,1,1321.jpg,126.0,279.0,216.0,445.0
250,1,1180.jpg,90.0,238.0,170.0,311.0
251,1,1057.jpg,247.0,527.0,321.0,668.0
252,1,349.jpg,197.0,332.0,296.0,496.0
253,1,1095.jpg,144.0,467.0,308.0,719.0
254,2,1275.jpg,91.0,247.0,180.0,392.0
255,1,1533.jpg,134.0,243.0,258.0,438.0
256,1,1131.jpg,647.0,292.0,707.0,392.0
257,1,227.jpg,103.0,376.0,215.0,539.0
258,2,201.jpg,89.0,333.0,196.0,507.0
259,1,1258.jpg,55.0,582.0,221.0,806.0
260,1,1164.jpg,222.0,268.0,288.0,348.0
261,2,809.jpg,28.0,235.0,87.0,348.0
262,1,588.jpg,126.0,387.0,233.0,521.0
263,2,689.jpg,92.0,241.0,144.0,328.0
264,1,77.jpg,182.0,463.0,272.0,584.0
265,1,146.jpg,142.0,256.0,215.0,353.0
266,1,102.jpg,95.0,269.0,187.0,424.0
267,1,490.jpg,135.0,391.0,250.0,582.0
268,2,1427.jpg,106.0,255.0,254.0,485.0
269,2,974.jpg,364.0,446.0,496.0,617.0
270,2,555.jpg,484.0,548.0,589.0,735.0
271,1,910.jpg,86.0,571.0,229.0,735.0
272,1,272.jpg,28.0,365.0,124.0,523.0
